date	Year	Month	Day	Hour	Toy	dow	daytype	Zone1	Zone2	Zone3	Zone4	Zone5	Zone6	Zone7	Zone8	Zone9	Zone10	Zone11	Zone12	Zone13	Zone14	Zone15	Zone16	Zone17	Zone18	Zone19	Zone20	Station1	Station2	Station3	Station4	Station5	Station6	Station7	Station8	Station9	Station10	Station11	Time
2008-01-01 01:00:00	2008	1	1	1	0.00011384335154827	mardi	USNewYearsDay	20612	157330	169759	579	8951	166281	169759	4507	74781	22586	117278	154203	22892	25406	71284	33875	36327	264919	95820	94934	43	37	34	40	35	35	37	38	32	38	41	1
2008-01-01 02:00:00	2008	1	1	2	0.000227686703096539	mardi	USNewYearsDay	20166	152447	164491	565	8702	161149	164491	4322	75180	21565	111943	146082	21841	25482	69993	32797	35995	255432	93861	91405	45	38	36	37	35	38	40	37	36	41	39	2
2008-01-01 03:00:00	2008	1	1	3	0.000341530054644809	mardi	USNewYearsDay	20077	148164	159869	565	8505	156669	159869	4179	75201	20986	107899	139100	20715	24859	68747	32159	35424	247083	91353	88064	44	37	32	37	35	35	42	37	36	38	38	3
2008-01-01 04:00:00	2008	1	1	4	0.000455373406193078	mardi	USNewYearsDay	20664	145317	156797	540	8250	153567	156797	4103	75054	20607	105059	135346	20244	24386	68061	32062	35385	243681	90841	86712	43	38	36	37	36	36	41	37	38	39	44	4
2008-01-01 05:00:00	2008	1	1	5	0.000569216757741348	mardi	USNewYearsDay	20805	145274	156751	546	8184	153458	156751	4194	75075	20594	104100	133508	20406	24903	69049	32425	36031	245895	91918	87969	45	38	36	38	39	37	39	37	37	40	42	5
2008-01-01 06:00:00	2008	1	1	6	0.000683060109289617	mardi	USNewYearsDay	21264	146381	157946	552	8209	154590	157946	4256	75138	21012	105349	133900	21143	25848	70473	33213	37043	249537	94994	91083	45	37	38	37	42	37	40	37	38	40	42	6
2008-01-01 07:00:00	2008	1	1	7	0.000796903460837887	mardi	USNewYearsDay	21704	151126	163065	571	8355	159481	163065	4213	63546	21763	107308	135874	22486	26759	73234	34377	38357	255778	99568	94442	45	38	39	36	41	38	40	36	38	40	41	7
2008-01-01 08:00:00	2008	1	1	8	0.000910746812386157	mardi	USNewYearsDay	22399	153191	165293	598	8929	162119	165293	4343	62874	21930	110004	137524	23782	27651	75641	35662	39070	263285	103196	97097	45	37	39	39	42	37	39	36	37	39	42	8
2008-01-01 09:00:00	2008	1	1	9	0.00102459016393443	mardi	USNewYearsDay	23524	157871	170343	665	9634	167505	170343	4612	63399	22199	113133	141967	25316	27886	75951	36192	39067	266001	106423	100406	47	38	40	40	43	40	40	34	37	40	42	9
2008-01-01 10:00:00	2008	1	1	10	0.0011384335154827	mardi	USNewYearsDay	23813	160677	173370	678	9778	170454	173370	5047	63357	22389	114432	144459	26502	27005	73559	35698	37269	262236	102750	102834	53	40	45	45	48	45	44	44	43	45	42	10
2008-01-01 11:00:00	2008	1	1	11	0.00125227686703097	mardi	USNewYearsDay	22545	163135	176022	747	9393	172528	176022	5300	72345	22111	117228	147351	26891	25673	71717	34112	35243	254335	98848	104579	56	39	50	52	52	48	50	49	49	49	42	11
2008-01-01 12:00:00	2008	1	1	12	0.00136612021857923	mardi	USNewYearsDay	21623	165177	178226	743	9313	174490	178226	5446	75369	21818	115351	146238	26712	24413	68519	31985	33909	244992	94727	104201	55	40	51	54	51	50	52	54	50	50	43	12
2008-01-01 13:00:00	2008	1	1	13	0.0014799635701275	mardi	USNewYearsDay	20591	164883	177909	681	9119	174002	177909	5226	75180	20952	110806	142203	26395	23454	65347	30393	32670	234008	90490	103216	55	40	52	56	53	51	54	54	51	51	42	13
2008-01-01 14:00:00	2008	1	1	14	0.00159380692167577	mardi	USNewYearsDay	19532	162351	175177	658	8700	171051	175177	5121	75495	19865	105132	138095	26046	22069	63568	28696	31593	224148	86983	101413	56	40	52	57	52	51	55	55	50	51	42	14
2008-01-01 15:00:00	2008	1	1	15	0.00170765027322404	mardi	USNewYearsDay	19364	161838	174623	680	8518	170355	174623	4991	66381	19412	101077	132457	25678	21443	62259	27481	31063	218589	84530	100595	56	40	51	56	52	51	54	54	50	51	41	15
2008-01-01 16:00:00	2008	1	1	16	0.00182149362477231	mardi	USNewYearsDay	19784	166503	179658	659	8472	174975	179658	4953	62916	19810	102178	133694	25355	21771	62838	28110	31376	224947	86332	103543	55	39	51	54	51	50	52	52	47	50	40	16
2008-01-01 17:00:00	2008	1	1	17	0.00193533697632058	mardi	USNewYearsDay	21063	176738	190701	681	9045	185783	190701	5550	62307	21532	111253	145053	26997	23751	67507	31250	33774	246233	94845	109769	53	37	49	53	50	48	49	50	46	48	37	17
2008-01-01 18:00:00	2008	1	1	18	0.00204918032786885	mardi	USNewYearsDay	25237	199492	215253	765	11020	210513	215253	6035	67851	25709	131550	173313	31069	29170	78984	37996	39089	293935	113812	124549	50	35	46	48	45	44	46	47	44	44	35	18
2008-01-01 19:00:00	2008	1	1	19	0.00216302367941712	mardi	USNewYearsDay	27180	207301	223678	785	11820	219121	223678	6286	74634	28009	138140	183021	32900	31749	84123	40661	41595	314515	122384	129171	48	34	43	45	43	42	45	44	40	42	34	19
2008-01-01 20:00:00	2008	1	1	20	0.00227686703096539	mardi	USNewYearsDay	27459	207987	224418	788	11874	219861	224418	6361	74487	28334	139242	186413	33373	33037	84649	41145	42408	318348	124225	128714	46	32	42	44	41	41	43	42	39	40	33	20
2008-01-01 21:00:00	2008	1	1	21	0.00239071038251366	mardi	USNewYearsDay	27984	207326	223706	775	11504	218830	223706	6041	75621	28233	136721	183419	32952	32653	84830	41151	42426	317216	123142	125764	45	30	40	42	40	39	39	40	37	38	33	21
2008-01-01 22:00:00	2008	1	1	22	0.00250455373406193	mardi	USNewYearsDay	27112	202304	218286	686	10586	212889	218286	5703	76209	27222	129767	173887	31426	31330	83059	39926	41631	302796	117974	120147	44	30	38	40	39	38	39	37	37	37	32	22
2008-01-01 23:00:00	2008	1	1	23	0.0026183970856102	mardi	USNewYearsDay	26282	192385	207583	679	9633	202017	207583	5351	76272	25867	119589	161661	29527	29496	79843	37606	40470	284323	110310	112797	42	28	37	38	38	36	37	36	35	36	30	23
2008-01-02 00:00:00	2008	1	1	24	0.00273224043715847	mercredi	USNewYearsDay	25827	184663	199252	613	8998	193661	199252	5043	64932	24507	111706	148907	27919	27722	76615	35702	38749	267639	104844	106752	41	27	35	37	37	34	36	36	34	35	28	24
2008-01-02 01:00:00	2008	1	2	1	0.00284608378870674	mercredi	mercredi	25787	181795	196158	594	8565	190360	196158	4878	63147	72834	108613	141661	26837	27104	75460	35220	38072	262721	102700	105510	40	26	35	36	36	34	36	34	33	33	27	25
2008-01-02 02:00:00	2008	1	2	2	0.00295992714025501	mercredi	mercredi	26544	183102	197567	613	8590	191692	197567	4878	63126	72950	108773	139766	26687	27332	76358	35682	38173	264297	103765	105163	38	25	35	35	35	33	34	34	32	33	26	26
2008-01-02 03:00:00	2008	1	2	3	0.00307377049180328	mercredi	mercredi	27789	185084	199705	614	8881	193965	199705	4914	64050	74400	111216	140449	27043	27865	78337	36824	38745	270037	106324	105521	37	25	34	34	35	32	34	32	32	32	25	27
2008-01-02 04:00:00	2008	1	2	4	0.00318761384335155	mercredi	mercredi	29408	190376	205416	617	9252	199628	205416	5014	71757	75666	115164	143777	27760	28949	81682	38614	39825	282275	109864	107839	36	23	33	32	35	31	31	30	30	30	23	28
2008-01-02 05:00:00	2008	1	2	5	0.00330145719489982	mercredi	mercredi	31664	198099	213750	636	9926	208025	213750	5289	79653	79990	121995	151263	29271	31299	86507	40994	41936	299910	116720	113202	35	21	33	31	33	29	30	30	28	29	23	29
2008-01-02 06:00:00	2008	1	2	6	0.00341530054644809	mercredi	mercredi	34807	215099	232093	685	11225	226324	232093	5773	77322	88672	136817	169301	31834	34975	92973	45108	46396	330370	129457	123215	35	20	31	31	31	28	29	29	28	28	23	30
2008-01-02 07:00:00	2008	1	2	7	0.00352914389799636	mercredi	mercredi	38613	236810	255518	763	12713	249523	255518	6173	47544	100256	159865	195845	36503	38974	103133	49920	50296	368035	144218	137183	35	20	30	30	30	27	29	30	28	28	23	31
2008-01-02 08:00:00	2008	1	2	8	0.00364298724954463	mercredi	mercredi	39001	250528	270321	771	12739	263267	270321	6327	20937	104654	166446	197356	34282	34360	94781	48491	48580	351610	129636	132015	33	20	30	29	30	27	30	30	29	27	23	32
2008-01-02 09:00:00	2008	1	2	9	0.0037568306010929	mercredi	mercredi	37533	253531	273560	813	12077	265608	273560	6106	20496	103633	162117	189473	36739	36505	106349	52367	50108	361429	138698	139168	33	20	30	30	30	27	30	29	30	27	22	33
2008-01-02 10:00:00	2008	1	2	10	0.00387067395264117	mercredi	mercredi	37023	252683	272646	771	11860	264543	272646	6051	42819	104098	159619	187479	35923	35049	105695	52378	49666	358718	138050	138408	33	21	30	31	30	28	29	30	28	28	22	34
2008-01-02 11:00:00	2008	1	2	11	0.00398451730418944	mercredi	mercredi	35201	249301	268996	738	11417	260718	268996	5827	74151	105651	156610	181190	34909	33920	104178	51733	48690	350400	135836	135342	34	22	30	32	32	28	30	33	30	28	24	35
2008-01-02 12:00:00	2008	1	2	12	0.00409836065573771	mercredi	mercredi	32013	242774	261953	739	10869	253643	261953	5561	74277	107715	152451	179676	33220	32389	99760	50199	47996	334175	129538	132091	32	23	31	34	32	30	32	31	32	30	25	36
2008-01-02 13:00:00	2008	1	2	13	0.00421220400728597	mercredi	mercredi	29235	242223	261359	715	10332	252555	261359	5592	75159	107964	147020	175281	32215	32217	92855	46179	45940	316614	120404	127768	34	24	32	34	34	29	34	31	33	31	27	37
2008-01-02 14:00:00	2008	1	2	14	0.00432604735883424	mercredi	mercredi	27786	236252	254916	677	10222	246474	254916	5369	74781	104533	144179	170034	31408	31490	88863	43783	44058	305153	114429	125586	33	27	34	34	34	34	36	35	34	35	28	38
2008-01-02 15:00:00	2008	1	2	15	0.00443989071038251	mercredi	mercredi	27427	232903	251303	673	9987	242890	251303	5333	74844	101976	142368	167057	30841	30085	87812	42620	43174	300334	110637	124346	35	27	35	35	36	35	37	36	35	36	28	39
2008-01-02 16:00:00	2008	1	2	16	0.00455373406193078	mercredi	mercredi	27942	233878	252354	675	10411	244288	252354	5499	75264	101649	145202	172218	30981	30520	88789	43661	43255	308605	112581	125776	36	27	35	37	35	35	37	37	35	36	27	40
2008-01-02 17:00:00	2008	1	2	17	0.00466757741347905	mercredi	mercredi	30726	243700	262953	726	11617	255317	262953	5933	48258	107006	157477	195307	33359	33501	95154	47956	46988	336827	123016	134577	36	26	33	37	34	35	36	36	33	35	27	41
2008-01-02 18:00:00	2008	1	2	18	0.00478142076502732	mercredi	mercredi	35765	263114	283900	857	13443	276556	283900	6549	19887	119004	180836	230345	33518	35629	94566	51554	51356	356690	129191	141363	36	25	31	36	31	33	34	36	33	34	26	42
2008-01-02 19:00:00	2008	1	2	19	0.00489526411657559	mercredi	mercredi	37892	270557	291932	848	13871	284428	291932	6801	19866	121290	182581	241246	34463	38364	99110	53320	52947	356512	138930	141662	36	24	31	35	30	32	32	33	31	32	25	43
2008-01-02 20:00:00	2008	1	2	20	0.00500910746812386	mercredi	mercredi	38230	271189	292614	855	13731	284920	292614	6832	19971	121284	182777	243428	34189	39184	98960	54161	53202	358042	140661	140040	35	23	30	33	29	31	32	32	30	31	23	44
2008-01-02 21:00:00	2008	1	2	21	0.00512295081967213	mercredi	mercredi	37839	268757	289990	862	14835	283592	289990	6688	35679	121016	185499	240440	38959	43652	112481	59333	56329	423321	153984	153849	34	22	29	33	28	30	31	31	30	29	23	45
2008-01-02 22:00:00	2008	1	2	22	0.0052367941712204	mercredi	mercredi	36602	262372	283099	822	13329	275701	283099	6373	70308	116716	179101	230616	36721	41943	107524	56994	54679	390252	147333	147667	33	22	28	31	27	30	30	30	28	29	23	46
2008-01-02 23:00:00	2008	1	2	23	0.00535063752276867	mercredi	mercredi	35521	247110	266632	776	12249	259359	266632	6544	74634	110545	168920	216469	34392	38788	101849	55040	51949	364678	137692	139346	32	21	27	31	25	28	28	29	28	28	23	47
2008-01-03 00:00:00	2008	1	2	24	0.00546448087431694	jeudi	jeudi	34163	236621	255314	719	11477	248098	255314	6022	74928	106098	161141	203936	32119	36781	96187	53197	50151	349686	130431	130246	30	20	26	29	24	27	28	29	28	27	23	48
